"Time","AccelX","AccelY","AccelZ"
"16986387","-1.5999908","6.2842712","7.4559937"
"16986588","-1.7428131","6.0628967","6.1015625"
"16986789","-5.5680695","6.205719","6.9608765"
"16986990","-1.523819","7.4292297","3.321289"
"16987191","-1.7523346","7.7672424","2.3619995"
"16987391","-2.3117218","7.2673645","9.572144"
"16987592","-0.6811676","6.950775","6.239624"
"16987793","-1.2691193","7.098358","6.7442627"
"16987994","-1.5166779","7.0745544","6.739502"
"16988194","-1.716629","6.8936462","6.79187"
"16988395","-0.6811676","7.2483215","8.036804"
"16988596","-0.21937561","5.981964","8.20343"
"16988797","1.0136566","11.016449","8.991333"
"16988997","0.6137543","3.6730042","5.8706665"
"16989198","-0.70259094","6.865082","5.020874"
"16989399","-0.22175598","5.017914","9.203186"
"16989600","2.998886","1.6949158","13.121277"
"16989800","3.8558197","2.2781067","5.861145"
"16990001","19.260986","-2.0184631","0.3196411"
"16990202","3.0203094","0.7451477","-3.2485352"
"16990403","6.5670624","-1.29245","-8.856689"
"16990603","6.776535","-6.8887024","-3.7912598"
"16990805","0.3471527","-18.143097","6.303894"
"16991006","-4.075577","-13.594208","3.3498535"
"16991207","-0.37886047","-13.720367","-0.7182007"
"16991407","-1.4666901","-8.635895","-3.9055176"
"16991608","-0.51216125","-7.5242615","-3.612732"
"16991809","-2.3141022","-8.633514","-1.6608276"
"16992009","-3.9708405","-4.134613","-3.7745972"
"16992210","-1.633316","-6.8268127","-9.230408"
"16992411","-4.0850983","-1.190094","-9.111389"
"16992611","-0.7002106","3.075531","-8.873352"
"16992812","-2.3855133","-1.318634","-9.635071"
"16993013","-2.2212677","-0.17129517","-9.1828"
"16993213","-2.81398","-0.7211609","-9.94928"
"16993415","-2.7401886","-0.4569397","-9.5946045"
"16993615","-2.7092438","-0.35458374","-9.532715"
"16993815","-2.8020782","-0.3831482","-9.608887"
"16994016","-2.7663727","-0.35934448","-9.611267"
"16994217","-2.7544708","-0.38076782","-9.599365"
"16994417","-2.7925568","-0.3831482","-9.656494"
"16994618","-2.74971","-0.39505005","-9.616028"
"16994819","-2.7663727","-0.42837524","-9.56366"
"16995019","-2.7711334","-0.4069519","-9.556519"
"16995220","-2.761612","-0.3736267","-9.649353"
"16995421","-2.730667","-0.45217896","-9.606506"
"16995621","-2.7354279","-0.39505005","-9.523193"
"16995822","-2.742569","-0.43789673","-9.556519"
"16996023","-2.8115997","-0.38790894","-9.585083"
"16996223","-2.973465","-0.48788452","-9.456543"
"16996424","-2.8092194","-0.4164734","-9.604126"
"16996624","-2.8853912","-0.4164734","-9.554138"
"16996825","-2.8568268","-0.433136","-9.613647"
"16997026","-2.8425446","-0.43551636","-9.570801"
"16997226","-2.8830109","-0.4640808","-9.482727"
"16997427","-2.8092194","-0.46170044","-9.580322"
"16997627","-2.844925","-0.45932007","-9.554138"
"16997828","-2.8163605","-0.43789673","-9.527954"
"16998028","-2.8354034","-0.433136","-9.577942"
"16998229","-2.8853912","-0.42837524","-9.535095"
"16998429","-2.833023","-0.433136","-9.56366"
"16998630","-2.825882","-0.46170044","-9.596985"
"16998831","-2.8282623","-0.45932007","-9.539856"
"16999031","-2.833023","-0.44265747","-9.525574"
"16999232","-2.9068146","-0.4640808","-9.616028"
"16999432","-2.9210968","0.14291382","-9.377991"
"16999633","-4.3493195","-0.1927185","-9.854065"
"16999833","-2.345047","-2.5112","-9.394653"
"17000034","-1.5904694","-4.903473","-7.6879272"
"17000234","-2.0903473","-6.674469","-6.719116"
"17000435","-2.0165558","-7.0815125","-6.6381836"
"17000635","-1.5809479","-7.669464","-6.171631"
"17000836","-1.4619293","-9.307159","-4.729126"
"17001036","-0.8787384","-8.385956","-0.66345215"
"17001237","-1.6285553","-9.82608","-1.303772"
"17001437","1.4706879","-9.473785","0.6814575"
"17001638","-0.90730286","-9.618988","0.107788086"
"17001838","-0.49549866","-9.597565","0.1315918"
