"Time","AccelX","AccelY","AccelZ"
"1947017","0.5233002","4.1586","8.408142"
"1947037","-0.050369263","4.301422","10.174377"
"1947057","1.3611908","3.6539612","10.926575"
"1947077","0.17338562","3.6968079","9.2317505"
"1947096","-0.55262756","3.3278503","7.541687"
"1947117","-0.87397766","2.4066467","7.079895"
"1947137","-0.66926575","1.9519958","7.36792"
"1947157","-0.53596497","2.606598","9.8078"
"1947177","0.6423187","2.9231873","9.74115"
"1947197","0.24003601","3.082672","8.20343"
"1947217","0.5947113","4.0086365","9.631653"
"1947237","0.6280365","4.6775208","11.316956"
"1947257","-0.42408752","4.0038757","9.2317505"
"1947277","-1.7523346","3.0517273","8.691406"
"1947297","-2.4426422","2.6803894","10.688538"
"1947317","-2.2902985","3.2088318","11.262207"
"1947337","-1.633316","4.468048","9.793518"
"1947357","-1.311966","4.1824036","8.634277"
"1947377","-1.7309113","3.889618","9.734009"
"1947397","-1.8404083","3.4682922","10.919434"
"1947417","-4.2993317","1.9972229","4.3948364"
"1947437","-4.1065216","3.896759","15.613525"
"1947457","-4.6778107","3.1612244","13.209351"
"1947477","-4.396927","3.434967","9.87207"
"1947516","-3.4328766","4.101471","9.722107"
"1947536","-2.992508","3.832489","9.912537"
"1947556","-3.6590118","3.5158997","9.186523"
"1947576","-4.7016144","2.4971008","8.496216"
"1947596","-5.372879","1.4211731","7.129883"
"1947616","-3.9446564","2.8113098","7.144165"
"1947636","-1.8856354","3.594452","8.465271"
"1947656","-2.62117","2.5804138","9.54834"
"1947676","-3.461441","1.433075","8.77948"
"1947696","-2.7092438","1.5687561","7.6797485"
"1947716","-1.5976105","3.1826477","8.800903"
"1947736","-1.754715","2.8589172","9.622131"
"1947756","-1.8023224","1.6996765","8.886597"
"1947776","0.30192566","1.6592102","15.51593"
"1947796","0.78038025","3.3183289","-1.3251953"
"1947816","5.26976","5.82724","2.5048218"
"1947836","7.0669403","4.7513123","5.815918"
"1947856","-9.190994","-0.70925903","12.697571"
"1947876","-1.1239166","0.22860718","12.2453"
"1947896","0.72325134","1.3926086","6.4490967"
"1947916","3.3940277","5.2773743","10.250549"
"1947936","0.35429382","3.5492249","10.314819"
"1947956","1.7682343","0.9927063","10.081543"
"1947976","2.0372162","2.1852722","10.974182"
"1947996","4.56279","5.0750427","9.788757"
"1948016","1.4492645","3.1683655","7.3583984"
"1948036","0.9660492","2.5923157","7.8011475"
"1948056","2.439499","3.0445862","8.955627"
"1948076","1.9491425","2.4304504","9.350769"
"1948096","2.1657562","2.3352356","10.171997"
"1948116","1.9943695","2.5994568","10.12677"
"1948136","2.7846527","3.6730042","7.68927"
"1948156","1.7991791","3.5039978","6.913269"
"1948176","2.651352","2.5851746","10.06012"
"1948196","1.1017303","0.3999939","8.334351"
"1948216","1.5563812","4.9774475","8.310547"
"1948236","1.8658295","2.575653","7.8654175"
"1948256","3.1488495","2.8422546","9.574524"
"1948276","4.736557","2.837494","10.183899"
"1948296","3.1536102","2.113861","7.220337"
"1948316","3.1988373","1.8448792","7.586914"
"1948336","3.3273773","1.1355286","7.1870117"
"1948356","2.753708","0.004852295","6.7823486"
"1948376","5.807724","0.21670532","7.605957"
"1948396","7.9072113","2.3542786","4.8518677"
"1948416","10.20665","2.5256653","3.4950562"
"1948436","13.934311","-3.3538513","4.975647"
"1948456","17.533432","-1.6066589","5.4921875"
"1948476","9.718674","-0.27127075","6.372925"
"1948496","5.5815887","-2.677826","6.5585938"
"1948516","-4.699234","-1.9541931","1.3336792"
"1948536","5.441147","0.10482788","3.847351"
"1948556","2.2371674","-3.0325012","1.9763794"
"1948576","-1.8999176","-8.497833","1.4241333"
"1948596","-0.7644806","-16.24356","0.3125"
"1948616","9.43779","-14.327362","-5.0909424"
"1948636","19.260986","-4.9510803","-2.741516"
"1948656","14.134262","-5.610443","4.2044067"
"1948676","19.260986","-8.745392","15.008911"
