"Time","AccelX","AccelY","AccelZ"
"3107811","-4.9539337","2.6756287","7.1608276"
"3107831","-4.4635773","3.832489","8.241516"
"3107851","-4.187454","3.5230408","6.546692"
"3107871","-3.9470367","4.132416","6.9680176"
"3107892","-3.4376373","3.7825012","9.234131"
"3107912","-3.1234283","1.9972229","8.869934"
"3107932","-3.1757965","1.5687561","8.1605835"
"3107952","-4.692093","3.3207092","11.366943"
"3107972","-2.280777","2.8493958","10.738525"
"3107992","-3.0782013","0.7189636","10.429077"
"3108012","-3.3162384","0.0786438","10.405273"
"3108032","-2.0594025","1.2093201","12.761841"
"3108052","-1.2667389","1.5259094","13.297424"
"3108072","0.68992615","0.7618103","9.883972"
"3108092","3.710617","3.2778625","5.073242"
"3108112","-10.985794","2.1210022","6.565735"
"3108132","1.2112274","2.2209778","5.8635254"
"3108152","0.20433044","2.511383","7.8654175"
"3108173","1.496872","3.1302795","8.301025"
"3108193","0.60899353","3.5587463","8.791382"
"3108213","-0.052749634","2.8517761","9.541199"
"3108233","0.60899353","2.670868","9.146057"
"3108253","0.6351776","3.1064758","8.867554"
"3108273","0.9255829","2.5518494","9.450745"
"3108293","1.3040619","2.632782","8.767578"
"3108313","2.5727997","3.5611267","7.408386"
"3108333","2.7394257","4.03244","7.855896"
"3108353","2.1300507","2.5827942","7.7559204"
"3108373","1.7587128","2.761322","7.977295"
"3108393","2.2585907","3.4302063","7.889221"
"3108413","1.4111786","3.056488","8.58429"
"3108433","1.4825897","2.5542297","8.112976"
"3108453","2.2490692","2.7589417","9.110352"
"3108474","3.1607513","2.9112854","10.083923"
"3108494","1.8634491","2.0329285","10.419556"
"3108514","0.78752136","2.1495667","10.400513"
"3108534","1.5897064","2.5447083","9.572144"
"3108554","2.0538788","2.2852478","8.800903"
"3108574","1.5920868","2.3209534","8.546204"
"3108594","1.3231049","2.754181","8.674744"
"3108614","2.1847992","2.966034","9.774475"
"3108634","2.2823944","1.728241","9.860168"
"3108654","0.06388855","1.4045105","9.42218"
"3108674","1.394516","2.7184753","9.279358"
"3108694","3.7629852","3.5397034","11.321716"
"3108714","3.1274261","3.1040955","9.734009"
"3108734","1.2897797","2.2185974","8.5224"
"3108754","1.8110809","2.9374695","8.472412"
"3108775","2.8846283","2.5447083","7.8320923"
"3108795","1.6825409","2.6684875","7.3536377"
"3108815","0.32810974","2.7208557","8.065369"
"3108835","1.9634247","2.4613953","6.251526"
"3108855","2.5347137","2.2900085","5.611206"
"3108875","3.8677216","2.6732483","6.156311"
"3108895","5.3054657","4.0681458","8.591431"
"3108915","4.608017","1.4187927","11.402649"
"3108935","4.043869","2.0400696","12.666626"
"3108955","5.4578094","2.3233337","12.30481"
"3108975","5.372116","1.9805603","6.315796"
"3108995","8.8641205","2.799408","3.718811"
"3109015","8.364243","0.97366333","1.864502"
"3109035","10.292343","0.21194458","4.275818"
"3109055","8.621323","-0.5307312","3.5878906"
"3109076","6.9217377","0.5975647","10.076782"
"3109096","5.603012","2.0519714","14.397156"
"3109116","6.0552826","-4.058441","3.8140259"
"3109136","7.6191864","-2.665924","3.8568726"
"3109156","5.165024","-3.4371643","-0.4873047"
"3109176","9.973373","-2.1874695","-1.4751587"
"3109196","12.58226","0.10006714","2.6619263"
"3109216","10.254257","-2.363617","0.59814453"
"3109236","9.556808","-3.3443298","1.614563"
"3109256","9.009323","-3.7132874","0.35534668"
"3109276","10.697006","-1.9113464","-0.8157959"
"3109296","10.266159","-1.9541931","-0.19927979"
"3109316","9.732956","-5.4580994","1.4765015"
"3109336","9.62822","-6.0365295","2.2858276"
"3109357","11.246872","-7.019623","2.345337"
"3109377","12.722702","-6.341217","1.2075195"
"3109397","7.174057","-1.2496033","0.63861084"
"3109417","3.6796722","-4.6773376","-0.19689941"
"3109437","6.8884125","-10.118866","-5.1123657"
"3109457","11.082626","-3.8703918","-2.8343506"
