Time,AccelX,AccelY,AccelZ
1518196688317.00 ,0.8002777,3.506363,9.204269
1518196688519.00 ,0.86216736,3.5492096,9.601791
1518196688720.00 ,0.7931366,3.4897003,9.887436
1518196688922.00 ,0.96214294,3.558731,9.528
1518196689124.00 ,0.9478607,3.4825592,9.6089325
1518196689325.00 ,0.86216736,3.282608,9.689865
1518196689526.00 ,0.32182312,2.3637848,9.382797
1518196689728.00 ,1.8833466,3.308792,9.394699
1518196689929.00 ,1.5429535,3.7991486,9.275681
1518196690130.00 ,2.1594696,3.4611359,10.368271
1518196690332.00 ,3.259201,4.2990265,7.483261
1518196690533.00 ,4.9611664,-2.1493988,3.5032806
1518196690734.00 ,9.933762,-6.762558,2.6154022
1518196690936.00 ,6.6488495,-0.22129822,-5.5730743
1518196691137.00 ,9.222031,-27.636032,2.1869354
1518196691339.00 ,0.6836395,-2.3207855,2.3583221
1518196691540.00 ,13.725693,-18.504929,17.16661
1518196691742.00 ,-2.463211,2.487564,-2.9380035
1518196691943.00 ,10.269394,-16.938644,0.33738708
1518196692145.00 ,-0.20185852,3.1564484,-0.08869934
1518196692346.00 ,9.341049,-9.778488,-9.831558
1518196692547.00 ,-1.7276764,-2.8873138,1.806076
1518196692749.00 ,5.3420258,-8.293137,0.7658539
1518196692950.00 ,9.955185,-12.668259,-11.150284
1518196693152.00 ,4.6683807,-0.33317566,5.1504974
1518196693353.00 ,13.732834,-36.952805,-14.287613
1518196693556.00 ,-9.004471,3.7777252,1.2919159
1518196693756.00 ,17.42717,-1.2853241,-7.7415924
1518196693958.00 ,-3.3391876,4.239517,7.526108
1518196694159.00 ,20.845383,-20.11168,-0.64808655
1518196694360.00 ,-13.122513,1.7401276,-0.026809692
1518196694563.00 ,4.2113495,-10.316452,-10.9622345
1518196694765.00 ,-0.29707336,3.0564728,1.1467133
1518196694966.00 ,8.757858,-15.779404,-7.7868195
1518196695166.00 ,-3.3772736,-2.8420868,-0.96943665
1518196695369.00 ,-1.8490753,-6.910141,0.21836853
1518196695571.00 ,-0.104263306,-6.910141,0.16123962
1518196695772.00 ,3.7305145,-13.334763,-16.039566
1518196695973.00 ,4.066147,-4.7011566,-1.9311066
1518196696174.00 ,-6.9811554,-30.233017,-5.8634796
