Time,AccelX,AccelY,AccelZ
1518195570275.00 ,0.7360077,3.570633,9.456589
1518195570476.00 ,0.6717377,3.5087433,9.311386
1518195570677.00 ,1.450119,3.6253815,9.354233
1518195570879.00 ,0.9573822,4.089554,11.663193
1518195571080.00 ,1.8500214,3.4920807,9.761276
1518195571281.00 ,1.2930145,3.6015778,9.730331
1518195571483.00 ,2.0356903,3.7658234,9.749374
1518195571684.00 ,5.3658295,0.53804016,3.88414
1518195571886.00 ,10.274155,-4.358383,5.4218597
1518195572087.00 ,14.563583,-6.895859,-6.1776886
1518195572288.00 ,6.503647,-6.6578217,0.16838074
1518195572490.00 ,11.342941,-4.222702,2.5677948
1518195572691.00 ,1.6905365,-5.967514,-0.9004059
1518195572893.00 ,7.9366302,-0.76164246,-1.3431549
1518195573094.00 ,9.864731,-8.2026825,-2.3809967
1518195573296.00 ,2.6998138,-8.738266,-1.0670319
1518195573497.00 ,3.2282562,-4.358383,-0.56477356
1518195573699.00 ,1.1811371,-10.254562,-4.0210724
1518195573900.00 ,-1.2111359,-4.453598,1.9012909
1518195574101.00 ,-3.9390411,-18.043137,0.93247986
1518195574303.00 ,5.489609,-21.970749,-10.105301
1518195574504.00 ,0.167099,-0.40220642,3.1581268
1518195574706.00 ,16.59404,-27.49083,-6.027725
1518195574907.00 ,-5.0768585,1.3045197,0.60398865
1518195575110.00 ,2.892624,-11.035324,-8.224808
1518195575310.00 ,1.1954193,2.3661652,-0.44099426
1518195575512.00 ,4.0256805,-10.106979,1.3014374
1518195575714.00 ,-3.572464,-11.463791,-5.518326
1518195575914.00 ,-1.2349396,0.59754944,-3.121292
1518195576117.00 ,-5.200638,-38.83568,4.9576874
1518195576319.00 ,2.4879608,1.8615265,0.69444275
1518195576519.00 ,19.526657,-23.101425,-8.710403
1518195576722.00 ,2.430832,2.3828278,1.0372162
1518195576922.00 ,23.20433,-22.756271,-3.7663727
1518195577125.00 ,-14.867325,-1.5352631,-6.001541
1518195577325.00 ,17.646164,-20.978134,-10.302872
1518195577526.00 ,3.6043549,1.8162994,4.115036
1518195577727.00 ,27.296188,-16.52922,-2.7237701
1518195577929.00 ,-2.1942291,3.3635406,-6.18721
1518195578132.00 ,5.8728485,-10.8806,-10.657547
1518195578333.00 ,-0.41371155,2.5042267,3.2985687
1518195578535.00 ,5.7562103,-16.310226,-5.044632
