Time,AccelX,AccelY,AccelZ
1518198853102.00 ,1.0145111,4.725113,9.168564
1518198853304.00 ,0.49320984,4.4466095,8.849594
1518198853506.00 ,1.5191498,4.808426,8.925766
1518198853707.00 ,1.1763763,4.8322296,9.551804
1518198853908.00 ,0.12901306,3.6277618,9.011459
1518198854110.00 ,0.90263367,4.153824,9.775558
1518198854311.00 ,0.3575287,3.9705353,9.701767
1518198854512.00 ,2.0904388,3.5991974,10.327805
1518198854714.00 ,5.2182465,1.4949493,4.731552
1518198854915.00 ,5.261093,-3.863266,2.165512
1518198855116.00 ,14.356491,-5.229599,0.99198914
1518198855318.00 ,8.857834,-7.5028534,0.5397186
1518198855519.00 ,7.8176117,-9.807053,-1.4812164
1518198855721.00 ,9.462448,-5.3414764,-2.0453644
1518198855922.00 ,14.099411,-11.035324,-2.1929474
1518198856123.00 ,5.511032,-8.228867,1.3514252
1518198856325.00 ,-8.052322,-9.968918,-2.4809723
1518198856526.00 ,0.45988464,-10.694931,-4.268631
1518198856728.00 ,3.997116,-7.302902,-0.9242096
1518198856929.00 ,3.4758148,-7.550461,-3.4235992
1518198857131.00 ,3.7757416,1.6996613,-2.2714996
1518198857332.00 ,1.6286469,-17.343307,4.103134
1518198857534.00 ,-1.4206085,-0.6354828,0.76109314
1518198857735.00 ,3.18779,-6.7792206,-6.463333
1518198857937.00 ,-4.7935944,3.7872467,6.1502533
1518198858138.00 ,5.1920624,-24.815292,-1.8787384
1518198858339.00 ,-4.105667,1.4163971,0.9634247
1518198858542.00 ,3.25206,-8.940598,-8.3771515
1518198858743.00 ,-10.549332,1.4711456,14.560104
1518198858944.00 ,3.7709808,-20.133102,-0.04109192
1518198859145.00 ,-4.945938,-3.8108978,-2.633316
1518198859347.00 ,4.1589813,-4.7082977,-8.469986
1518198859548.00 ,-5.3267975,3.3897247,7.335678
1518198859751.00 ,6.2180023,-24.965256,-5.8039703
1518198859953.00 ,5.068283,4.765579,-4.382889
1518198860154.00 ,17.11296,-15.453293,-17.827225
1518198860355.00 ,6.087082,-2.5397797,-1.18367
1518198860557.00 ,-10.887344,-12.639694,-20.890762
1518198860758.00 ,1.7524261,-12.694443,-5.956314
1518198860959.00 ,-6.902603,-3.0515594,-2.414322
1518198861160.00 ,5.5324554,-11.0186615,-10.42189
1518198861362.00 ,-3.6224518,3.1302643,6.5477753
1518198861564.00 ,7.5081635,-25.274704,-6.360977
1518198861765.00 ,-0.19709778,0.9069977,-0.7694855
1518198861966.00 ,15.037277,-2.3136444,-5.982498
1518198862167.00 ,10.267014,4.263321,-8.193863
1518198862369.00 ,23.387619,-25.479416,-0.40766907
1518198862571.00 ,2.3903656,-1.0020599,0.11125183
1518198862772.00 ,-4.4984283,-13.451401,-3.4688263
1518198862973.00 ,2.3237152,-10.580673,-3.3141022
1518198863175.00 ,-26.647781,-7.3481293,7.7808075
1518198863376.00 ,0.024276733,-10.74968,-1.6906891
1518198863577.00 ,-5.450577,-8.328842,-5.218399
1518198863779.00 ,4.4946136,-11.647079,-4.6494904
1518198863981.00 ,-0.63508606,5.558243,3.6580048
1518198864183.00 ,1.1240082,-21.311386,-4.3567047
1518198864385.00 ,-4.131851,2.7874908,4.3863983
1518198864585.00 ,1.3810883,-5.274826,-9.384048
1518198864787.00 ,-1.9347687,4.2657013,8.24498
1518198864987.00 ,12.152267,-24.441574,-9.062698
1518198865189.00 ,3.7305145,4.6441803,1.8751068
1518198865391.00 ,9.226791,-14.979599,-10.986038
1518198865593.00 ,1.7143402,-4.434555,0.4516449
1518198865794.00 ,-1.975235,-8.654953,-5.3231354
1518198865995.00 ,0.13615417,-9.050095,0.030319214
1518198866197.00 ,2.3856049,-10.209335,-0.39338684
1518198866398.00 ,-0.18281555,-9.3405,-0.2315216
1518198866600.00 ,1.0930634,-9.173874,-1.6526031
1518198866800.00 ,0.5217743,-9.497604,-0.9408722
1518198867002.00 ,0.26707458,-9.809433,-0.23866272
1518198867203.00 ,0.95500183,-9.416672,-0.6909332
1518198867405.00 ,0.39323425,-9.59996,-0.45765686
1518198867606.00 ,0.9811859,-9.53331,-1.0218048
1518198867808.00 ,1.1073456,-9.314316,-1.2622223
1518198868010.00 ,1.193039,-9.433334,-1.3264923
1518198868210.00 ,1.1501923,-9.373825,-0.9408722
1518198868411.00 ,1.2216034,-9.59758,-0.94563293
1518198868612.00 ,1.0573578,-9.718979,-0.6790314
1518198868815.00 ,1.0859222,-9.692795,-0.7742462
1518198869017.00 ,1.3549042,-9.478561,-0.74806213
