Start,End
1518198096242.0,1518198097242.0
1518198096342.0,1518198097342.0
1518198096442.0,1518198097442.0
1518198096542.0,1518198097542.0
1518198096642.0,1518198097642.0
1518198096742.0,1518198097742.0
1518198096842.0,1518198097842.0
1518198096942.0,1518198097942.0
1518198097042.0,1518198098042.0
1518198097142.0,1518198098142.0
1518198097242.0,1518198098242.0
1518198097342.0,1518198098342.0
1518198097442.0,1518198098442.0
1518198097542.0,1518198098542.0
1518198097642.0,1518198098642.0
1518198097742.0,1518198098742.0
1518198097842.0,1518198098842.0
1518198097942.0,1518198098942.0
1518198098042.0,1518198099042.0
1518198098142.0,1518198099142.0
1518198098242.0,1518198099242.0
1518198098342.0,1518198099342.0
1518198098442.0,1518198099442.0
1518198098542.0,1518198099542.0
1518198098642.0,1518198099642.0
1518198098742.0,1518198099742.0
1518198098842.0,1518198099842.0
1518198098942.0,1518198099942.0
1518198099042.0,1518198100042.0
1518198099142.0,1518198100142.0
1518198099242.0,1518198100242.0
1518198099342.0,1518198100342.0
1518198099442.0,1518198100442.0
1518198099542.0,1518198100542.0
1518198099642.0,1518198100642.0
1518198099742.0,1518198100742.0
1518198099842.0,1518198100842.0
1518198099942.0,1518198100942.0
1518198100042.0,1518198101042.0
1518198100142.0,1518198101142.0
1518198100242.0,1518198101242.0
1518198100342.0,1518198101342.0
1518198100442.0,1518198101442.0
1518198100542.0,1518198101542.0
1518198100642.0,1518198101642.0
1518198100742.0,1518198101742.0
1518198100842.0,1518198101842.0
1518198100942.0,1518198101942.0
1518198101042.0,1518198102042.0
1518198101142.0,1518198102142.0
1518198101242.0,1518198102242.0
1518198101342.0,1518198102342.0
1518198101442.0,1518198102442.0
1518198101542.0,1518198102542.0
1518198101642.0,1518198102642.0
1518198101742.0,1518198102742.0
1518198101842.0,1518198102842.0
1518198101942.0,1518198102942.0
1518198102042.0,1518198103042.0
1518198102142.0,1518198103142.0
1518198102242.0,1518198103242.0
1518198102342.0,1518198103342.0
1518198102442.0,1518198103442.0
1518198102542.0,1518198103542.0
1518198102642.0,1518198103642.0
1518198102742.0,1518198103742.0
1518198102842.0,1518198103842.0
1518198102942.0,1518198103942.0
1518198103042.0,1518198104042.0
1518198103142.0,1518198104142.0
1518198103242.0,1518198104242.0
1518198103342.0,1518198104342.0
1518198103442.0,1518198104442.0
1518198103542.0,1518198104542.0
1518198103642.0,1518198104642.0
1518198103742.0,1518198104742.0
1518198103842.0,1518198104842.0
1518198103942.0,1518198104942.0
1518198104042.0,1518198105042.0
1518198104142.0,1518198105142.0
1518198104242.0,1518198105242.0
1518198104342.0,1518198105342.0
1518198104442.0,1518198105442.0
1518198104542.0,1518198105542.0
1518198104642.0,1518198105642.0
1518198104742.0,1518198105742.0
1518198104842.0,1518198105842.0
1518198104942.0,1518198105942.0
1518198105042.0,1518198106042.0
1518198105142.0,1518198106142.0
1518198105242.0,1518198106242.0
1518198105342.0,1518198106342.0
1518198105442.0,1518198106442.0
1518198105542.0,1518198106542.0
1518198105642.0,1518198106642.0
1518198105742.0,1518198106742.0
1518198105842.0,1518198106842.0
1518198105942.0,1518198106942.0
1518198106042.0,1518198107042.0
1518198106142.0,1518198107142.0
1518198106242.0,1518198107242.0
1518198106342.0,1518198107342.0
1518198106442.0,1518198107442.0
1518198106542.0,1518198107542.0
1518198106642.0,1518198107642.0
1518198106742.0,1518198107742.0
1518198106842.0,1518198107842.0
1518198106942.0,1518198107942.0
1518198107042.0,1518198108042.0
1518198107142.0,1518198108142.0
1518198107242.0,1518198108242.0
1518198107342.0,1518198108342.0
1518198107442.0,1518198108442.0
1518198107542.0,1518198108542.0
1518198107642.0,1518198108642.0
1518198107742.0,1518198108742.0
1518198107842.0,1518198108842.0
1518198107942.0,1518198108942.0
1518198108042.0,1518198109042.0
